csrc_51dc895c7e973ba2	Organic Colombia	t			Colombia
csrc_e58386e99c4408e6	Organic Honduras Comsa	t			Honduras
csrc_90760e479a2af138	Organic Honduras Copan	t			Honduras
d439446a-6523-4365-b18b-3fc98fb48a57	Organic Kona	t	Organic		
csrc_211af3db661e89ed	Organic Mexico	t			Mexico
csrc_238de45a3dd9940b	Organic Mexico (New Coffee)	f			Mexico
csrc_10b5149aecee5e0d	Organic Nicaragua	t			Nicaragua
csrc_209100c254f6e64d	Organic papa New Guinea	t			Papua New Guinea
39b0d699-07ce-4511-93a1-2d4427c31a4b	Organic Papa New Guinea	t	Organic		
csrc_1483d3f39c6ded9f	Organic Peru	t			Peru
csrc_c8a7362b8bc1d2fc	Organic Peru Selva Andina	t			Peru
csrc_c9f7cf5ed2d057ae	Organic PNG Simbu	t			Papua New Guinea
csrc_b505ba346aadb72d	Organic Timor peaberry	f			Timor
csrc_936ef021d0846852	Organic Timor Peaberry	t			Timor
csrc_27019e3a8b1d2c6a	Papa New Guinea (not peaberry)	t			Papua New Guinea
80794daa-33d9-47f9-9ff5-cee88c3cb10e	Papa New Guinea Peaberry	f			
csrc_d2bed255e650be0e	Papa New Guinea Peaberry	t			Papua New Guinea
csrc_9e22c4ecd79db3bb	PERU FT-FLO/USA ORGANIC CAFE DE MUJER APROCCURMA	t			Peru
csrc_c3692df4e5b76f59	Peru Vida Alta	t			Peru
csrc_b0855e2e4d4a11c5	PNG Peaberry	f			Papua New Guinea
csrc_ce35b4d21f498f12	Sumatra	t			Sumatra
csrc_b39931a7edd8a6e3	Sumatra Takengon & Sulawesi	t			Sumatra
csrc_f9c78ea8c2cdba62	Yemen Mocca	t			Yemen
